timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20210111T1400,31.183014,68,22.884789,19.29004
20210111T1500,31.003016,68,24.975283,15.037811
20210111T1600,30.985014,67,27.466372,10.573517
20210111T1700,30.139015,69,28.82249,9.344666
20210111T1800,29.059015,73,26.932714,8.455017
20210111T1900,28.285015,74,25.567604,9.72757
20210111T2000,27.439014,74,26.693459,10.097488
20210111T2100,26.485016,75,27.887802,11.164871
20210111T2200,25.477015,75,27.959742,11.888657
20210111T2300,24.505014,74,27.181787,11.4587555
20210112T0000,23.533016,74,26.220753,8.68634
20210112T0100,22.579014,75,23.110207,4.467148
20210112T0200,21.319016,76,20.523155,358.99493
20210112T0300,20.221016,77,18.129137,353.15723
20210112T0400,19.339014,78,15.03835,348.95905
20210112T0500,18.835014,78,13.450708,344.4759
20210112T0600,18.421015,78,12.641076,340.0169
20210112T0700,17.809015,91,10.799999,360
20210112T0800,19.807014,84,11.525623,1.7899017
20210112T0900,22.147015,76,11.525623,1.7899017
20210112T1000,24.199015,62,11.5199995,360
20210112T1100,25.747015,56,11.879999,360
20210112T1200,27.367016,52,11.159999,360
20210112T1300,29.689014,53,9,360
20210112T1400,31.813015,53,5.7599998,360
20210112T1500,33.091015,58,3.7585104,343.30075
20210112T1600,32.497013,61,3.396233,302.00537
20210112T1700,30.229015,56,5.0142193,291.0375
20210112T1800,29.689014,59,5.6920996,288.43497
20210112T1900,29.347015,79,5.154415,294.77515
20210112T2000,29.041016,82,5.315336,298.30078
20210112T2100,28.969015,84,6.489992,303.69006
20210112T2200,29.383015,73,7.145796,310.91437
20210112T2300,29.383015,71,7.7043357,322.59467
20210113T0000,29.293015,73,8.373386,334.53668
20210113T0100,28.879015,79,8.4042845,350.13422
20210113T0200,28.879015,81,9,360
20210113T0300,29.023014,79,10.8955765,7.594635
20210113T0400,28.951015,80,13.1041975,15.945404
20210113T0500,28.825014,78,15.175612,22.306198
20210113T0600,28.555016,78,17.414474,29.744873
20210113T0700,20.563015,89,19.33639,24.179108
20210113T0800,22.507015,80,22.288042,31.122467
20210113T0900,24.775015,72,26.596178,39.507675
20210113T1000,25.855015,68,29.05983,48.01277
20210113T1100,26.323015,69,28.876396,54.130165
20210113T1200,26.809015,69,29.204409,59.641884
20210113T1300,27.295015,72,30.274265,64.65382
20210113T1400,27.565014,77,30.489683,67.067894
20210113T1500,27.691015,81,31.353088,68.44292
20210113T1600,27.979015,85,33.033802,69.59012
20210113T1700,28.087015,88,34.56187,67.976944
20210113T1800,28.069016,90,36.408085,65.46227
20210113T1900,28.051014,91,38.479603,63.9144
20210113T2000,28.087015,91,38.966568,62.48799
20210113T2100,28.087015,92,37.664326,58.28486
20210113T2200,28.285015,93,36.367126,54.26452
20210113T2300,28.393015,94,36.322556,50.630676
20210114T0000,28.627014,94,37.290855,49.69867
20210114T0100,28.879015,94,37.56613,50.053802
20210114T0200,29.257015,95,37.33601,50.47737
20210114T0300,29.473015,94,36.001797,49.460846
20210114T0400,29.473015,94,34.37387,46.27304
20210114T0500,29.221014,94,32.647057,41.42366
20210114T0600,28.807014,94,31.056128,34.61113
20210114T0700,28.447014,94,23.269482,34.919403
20210114T0800,28.699015,93,23.358423,28.539978
20210114T0900,28.969015,93,23.34455,26.565033
20210114T1000,29.545015,87,23.18579,25.769318
20210114T1100,30.031015,86,22.226902,24.904755
20210114T1200,30.787014,84,20.61766,24.775131
20210114T1300,31.669014,82,19.486609,25.144775
20210114T1400,32.785015,81,17.873556,27.59729
20210114T1500,33.595016,80,16.610792,29.898895
20210114T1600,34.099014,81,15.683774,31.865982
20210114T1700,34.027016,82,14.8257065,29.05458
20210114T1800,33.487015,87,14.007655,25.906494
20210114T1900,33.325016,89,14.168641,27.21611
20210114T2000,33.235016,90,13.217443,29.357742
20210114T2100,33.109016,90,13.891522,31.218384
20210114T2200,33.001015,90,15.696165,36.60707
20210114T2300,32.965015,90,15.580141,40.314102
20210115T0000,32.785015,91,17.057314,44.144897
20210115T0100,32.677013,91,18.844202,43.451828
20210115T0200,32.551014,91,19.914215,40.601288
20210115T0300,32.389015,90,21.203358,40.179214
20210115T0400,32.155014,91,22.473343,35.217575
20210115T0500,31.903015,91,23.4,36.86989
20210115T0600,31.741014,90,23.78453,39.472458
20210115T0700,29.581015,90,24.29133,39.58812
20210115T0800,30.283014,92,24.72495,42.04921
20210115T0900,30.949015,90,24.458813,42.614044
20210115T1000,31.507015,90,24.43761,44.999985
20210115T1100,31.957014,91,23.675303,44.38394
20210115T1200,32.407013,91,22.42427,42.39743
20210115T1300,32.767014,92,22.322903,37.79393
20210115T1400,32.929016,92,22.565422,33.94359
20210115T1500,32.947014,93,23.185787,36.158173
20210115T1600,32.983013,94,23.469128,41.268585
20210115T1700,32.911015,95,23.166216,44.370377
20210115T1800,32.785015,96,23.686249,46.847595
20210115T1900,32.875015,96,24.569836,50.946854
20210115T2000,32.965015,96,26.486313,58.90268
20210115T2100,33.055016,96,28.694056,66.32946
20210115T2200,33.217014,97,30.659237,74.33184
20210115T2300,33.505016,97,31.569351,82.79394
20210116T0000,34.045013,97,32.407997,91.273026
20210116T0100,34.873016,98,33.26252,99.97205
