timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20200813T1800,28.069016,90,36.408085,65.46227
20200813T1900,28.051014,91,38.479603,63.9144
20200813T2000,28.087015,91,38.966568,62.48799
20200813T2100,28.087015,92,37.664326,58.28486
20200813T2200,28.285015,93,36.367126,54.26452
20200813T2300,28.393015,94,36.322556,50.630676
20200814T0000,28.627014,94,37.290855,49.69867
20200814T0100,28.879015,94,37.56613,50.053802
20200814T0200,29.257015,95,37.33601,50.47737
20200814T0300,29.473015,94,36.001797,49.460846
20200814T0400,29.473015,94,34.37387,46.27304
20200814T0500,29.221014,94,32.647057,41.42366
20200814T0600,28.807014,94,31.056128,34.61113
20200814T0700,28.447014,94,23.269482,34.919403
20200814T0800,28.699015,93,23.358423,28.539978
20200814T0900,28.969015,93,23.34455,26.565033
20200814T1000,29.545015,87,23.18579,25.769318
20200814T1100,30.031015,86,22.226902,24.904755
20200814T1200,30.787014,84,20.61766,24.775131
20200814T1300,31.669014,82,19.486609,25.144775
20200814T1400,32.785015,81,17.873556,27.59729
20200814T1500,33.595016,80,16.610792,29.898895
20200814T1600,34.099014,81,15.683774,31.865982
20200814T1700,34.027016,82,14.8257065,29.05458
20200814T1800,33.487015,87,14.007655,25.906494
20200814T1900,33.325016,89,14.168641,27.21611
20200814T2000,33.235016,90,13.217443,29.357742
20200814T2100,33.109016,90,13.891522,31.218384
20200814T2200,33.001015,90,15.696165,36.60707
20200814T2300,32.965015,90,15.580141,40.314102
20200815T0000,32.785015,91,17.057314,44.144897
20200815T0100,32.677013,91,18.844202,43.451828
20200815T0200,32.551014,91,19.914215,40.601288
20200815T0300,32.389015,90,21.203358,40.179214
20200815T0400,32.155014,91,22.473343,35.217575
20200815T0500,31.903015,91,23.4,36.86989
20200815T0600,31.741014,90,23.78453,39.472458
20200815T0700,29.581015,90,24.29133,39.58812
20200815T0800,30.283014,92,24.72495,42.04921
20200815T0900,30.949015,90,24.458813,42.614044
20200815T1000,31.507015,90,24.43761,44.999985
20200815T1100,31.957014,91,23.675303,44.38394
20200815T1200,32.407013,91,22.42427,42.39743
20200815T1300,32.767014,92,22.322903,37.79393
20200815T1400,32.929016,92,22.565422,33.94359
20200815T1500,32.947014,93,23.185787,36.158173
20200815T1600,32.983013,94,23.469128,41.268585
20200815T1700,32.911015,95,23.166216,44.370377
20200815T1800,32.785015,96,23.686249,46.847595
20200815T1900,32.875015,96,24.569836,50.946854
20200815T2000,32.965015,96,26.486313,58.90268
20200815T2100,33.055016,96,28.694056,66.32946
20200815T2200,33.217014,97,30.659237,74.33184
20200815T2300,33.505016,97,31.569351,82.79394
20200816T0000,34.045013,97,32.407997,91.273026
20200816T0100,34.873016,98,33.26252,99.97205
20200816T0200,36.223015,100,33.47032,108.82471
20200816T0300,37.267014,100,27.21038,115.887024
20200816T0400,37.933014,100,19.523155,112.782394
20200816T0500,38.617016,100,14.982228,125.21759
20200816T0600,39.211014,100,10.390226,165.96376
20200816T0700,42.181015,100,27.181787,191.45876
20200816T0800,42.073013,100,6.28713,193.24052
20200816T0900,42.055016,100,7.5942082,211.42957
20200816T1000,42.379013,99,12.229406,227.38594
20200816T1100,44.413013,97,18.171976,236.30994
20200816T1200,45.403015,90,26.807312,247.91284
20200816T1300,45.763016,82,34.17157,258.4533
20200816T1400,45.18701,78,40.321606,269.48846
